Certificate Number,Customer,Country,State,Blanket Exemption,Valid From,Subsidiary,Notes
Nordstrom Exempt - 350,350 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 350 - Glendale Fashion Center Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 351,351 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 351 - Beverly Connection Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 352,352 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 352 - Hastings Village Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 354,354 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 354 - Burbank Empire Center Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 356,356 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 356 - Edinger Plaza Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 357,357 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 357 - Riverside Plaza Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 358,358 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 358 - Topanga Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 359,359 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 359 - West Covina Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 363,363 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 363 - Plaza Bonita Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 366,366 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 366 - The Shops at River Walk Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 367,367 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 367 - The Shops at Town & Country Rack,US,AZ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 368,368 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 368 - Commons at Temecula Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 369,369 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 369 - Carmel Mountain Plaza Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 370,370 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 370 - South Bay Marketplace Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 371,371 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 371 - The Shops at Summerlin Rack,US,NV,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 372,372 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 372 - Esplanade Shopping Center Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 373,373 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 373 - The Fountains at Farah Rack,US,TX,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 374,374 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 374 - Ontario Mills Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 376,376 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 376 - Stephanie Street Rack,US,NV,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 377,377 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 377 - Chandler Festival Rack,US,AZ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 378,378 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 378 - Mission Valley Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 379,379 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 379 - Scottsdale Promenade Rack,US,AZ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 383,383 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 383 - Grand Plaza Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 388,388 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 388 - Arrowhead Crossing Rack,US,AZ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 389,389 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 389 - The Corner Rack,US,AZ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 393,393 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 393 - Mountain Grove Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 396,396 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 396 - Janss Marketplace Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 400,400 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 400 - Sequoia Mall Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 401,401 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 401 - Bridgepointe Shop Center Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 402,402 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 402 - Promenade at Sacramento Gateway Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 403,403 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 403 - San Clemente Plaza Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 405,405 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 405 - The Ridge Elk Grove Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 411,411 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 411 - Canyon Springs Marketplace Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 413,413 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 413 - NoHo West Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 414,414 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 414 - Anaheim Hills Festival Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 416,416 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 416 - Desert Ridge Marketplace Rack,US,AZ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 428,428 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 428 - Daly City Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 431,431 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 431 - San Leandro Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 432,432 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 432 - Westgate Mall Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 433,433 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 433 - Howe 'Bout Arden Center Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 435,435 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 435 - East Bay Bridge Shopping Center Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 440,440 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 440 - Pinole Vista Crossing Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 441,441 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 441 - Best in the West Rack,US,NV,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 450,450 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 450 - Clovis Crossing Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 470,470 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 470 - Roseville Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 471,471 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 471 - Fresno Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 472,472 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 472 - Ravenswood Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 475,475 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 475 - Oakridge Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 476,476 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 476 - Persimmon Place Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 477,477 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 477 - Redfield Promenade Rack,US,NV,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 478,478 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 478 - Pacific Commons Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 479,479 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 479 - Sunvalley Shopping Center Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 481,481 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 481 - Palladio at Broadstone Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 482,482 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 482 - Coddingtown Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 483,483 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 483 - Vintage Oaks Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 484,484 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 484 - Nut Tree Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 485,485 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 485 - Cooper Point Marketplace Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 490,490 Nordstrom : Nordstrom - DC 499 - N California DC : Nordstrom - 490 - Gilroy Crossing Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 491,491 Nordstrom : Nordstrom - DC 399 - S California DC : Nordstrom - 491 - SLO Promenade Rack,US,CA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 497,497 Nordstrom : Nordstrom - DC 089 - Portland DC : Nordstrom - 497 - Valley Mall Union Gap Rack,US,WA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 509,509 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 509 - Rack at 31st & 6th,US,NY,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 515,515 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 515 - Union Square Rack,US,NY,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 519,519 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 519 - City Center Rack,US,NY,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 529,529 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 529 - The Gallery at Westbury Plaza Rack,US,NY,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 533,533 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 533 - Warwick Mall Rack,US,RI,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 539,539 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 539 - Bergen Rack,US,NJ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 541,541 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 541 - University Station Rack,US,MA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 542,542 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 542 - Liberty Tree Rack,US,MA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 543,543 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 543 - Middlesex Commons Rack,US,MA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 544,544 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 544 - Willow Grove Park Rack,US,PA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 545,545 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 545 - West Farm Shopping Center Rack,US,CT,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 546,546 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 546 - Shoppers World Rack,US,MA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 547,547 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 547 - Newbury Rack,US,MA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 548,548 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 548 - Manhasset Center Rack,US,NY,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 550,550 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 550 - The Shoppes at Blackstone Valley Rack,US,MA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 551,551 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 551 - Chestnut Street Rack,US,PA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 552,552 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 552 - Maine Crossing Rack,US,ME,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 553,553 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 553 - Braintree Rack,US,MA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 554,554 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 554 - Boulevard Consumer Square Rack,US,NY,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 555,555 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 555 - Mercer Mall Rack,US,NJ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 610,610 Nordstrom : Nordstrom - DC 799 - Gainesville DC : Nordstrom - 610 - Presidential Markets Rack,US,GA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 620,620 Nordstrom : Nordstrom - DC 299 - Central States DC : Nordstrom - 620 - Denton Crossing Rack,US,TX,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 624,624 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 624 - Potomac Mills Rack,US,VA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 625,625 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 625 - Columbia Crossing Rack,US,MD,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 627,627 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 627 - Towson Rack,US,MD,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 633,633 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 633 - Gaithersburg Rack,US,MD,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 634,634 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 634 - King of Prussia Rack,US,PA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 640,640 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 640 - Fair Lakes Promenade Rack,US,VA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 641,641 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 641 - Carolina Pavilion Rack,US,NC,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 642,642 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 642 - Cherry Hill Garden State Park Rack,US,NJ,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 643,643 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 643 - Annapolis Harbour Center Rack,US,MD,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 644,644 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 644 - Tysons Corner Rack,US,VA,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
Nordstrom Exempt - 645,645 Nordstrom : Nordstrom - DC 699 - Marlboro DC : Nordstrom - 645 - Christiana Fashion Center Rack,US,DE,T,1/1/2023,1,"Blanket resale exemption, Nordstrom Rack store onboarding. Approved by Accounting 2026-09-02. Pattern matches the 104 existing Nordstrom full-line certificates."
